id,start,end,category,sub_category,summary,transcript
77,"01:28:08,690","01:31:27,040",1 Instruction,1.2 Inquiry,They discuss adjusting the camera or view for better visualization.,"When I. One more and then I'll take a peek push. Alright, one more. Nice. Thanks. Degan. Yep. Good. I like the slightly box. That was smart. Up that way because then you can see it. I think so too. Yeah. Pass down there. Now I would turn my tips up. Okay. A little. No, no, go in. It's dynamic. You go in, you turn your tips up because this surface is actually like at that angle, if your angle here, you sky. Oh, there they are. See 'em. That's come through. Okay. It's not working for you though. Um, aggressive. I actually feel like I'm making a move there. It's just doing a thousand little spreads, but I could probably be more aggressive, just not seeing you when I should. If it's fat, you know? It should be easy. It's good. There you go. There you go. Finally found it. Saw your time. I did. They're, yeah. Okay. Big spread the fat, big spread. Okay. All right. Behind artery, opening up our plane. Critical view here, huh? Great. All right. Nice big spread behind artery. We've got the U behind the duct. We can get some of the schmutz between ducted and artery if we need to. The question is, do we think we need to, and then we gotta get our cystic plate spread again here, because that's where we're gonna staple. Yep. Nice. Okay. Okay. I think we have a good window here. How do you feel about getting our, that what you wanna do? It's gonna come around the back of gallbladder to get our cystic plate. Cool. Yeah, there's lots of things you could do here. Well what would you do? Uh, well would I do? Well you gotta clear off the base, right? Yeah. So, and you've gotta skeletonize the ducks. Those are two things you have to do, right? So you've got a lot of fat there and you're not skeletonized, so, okay. You know how you get to the fat, it's probably easier on the medial side than the lateral 'cause you can see it. Yeah. I give you very high level goals. If you want more detail, I'm happy to go to, I wanted to help some stress. That's a bad grab. Lip there. Cake. Maybe I'll hook across that. Okay. Yeah. It's gonna bleed with that dumb grab. Grab camera please. Coming with the camera. Anytime she's dissecting. You wanna be closed? I'm gonna stop that. She's coming in and outta the body or pauses to get a look around. Come back. Okay. I've gotta clean off my artery."
78,"01:31:39,945","01:31:55,670",1 Instruction,1.3 Validation,They discuss identifying or dissecting around the cystic duct and artery.,"Gotta skeletonize my artery. Do you usually just, yeah, I'll just pull, get in there. Difficult. Not gonna do that."
79,"01:32:05,840","01:32:48,740",1 Instruction,1.3 Validation,They discuss performing or evaluating a dissection or instrument movement.,"Hmm. So that's your nodal bleeding. Okay. So that's your node. Yep. So I would control, its va, its vascular, pedicle actually. Okay. And take it out. It's usually the easy, it's usually faster to do that than let it bleed. Have bleeding. Okay. So there's the upper pole and there's the lower. Usually I go upper, but here you almost have, I have lower, dissect it out. Yeah. So I would dissect that out further. Get behind it. I go into, you know, and I'm coming this angle. Sure. And just don't pull too hard because you want to coagulate this. It's too hard. That was still too hard. Yeah, because it, it should take like half a second to go through there. There you go. That's there."
80,"01:32:51,845","01:34:56,964",1 Instruction,1.3 Validation,They discuss identifying or dissecting around the cystic duct and artery.,"Yep. Perfect. And it stay on artery. 'cause you know, everything, this side of the artery is either nothing or a pedicle to the head. Right. Okay. Right. So push in with the heel mm-hmm. And show you when to go. Yep. You know, a little bit of this. Turn it, get a pick. Make sure it's a pick on a big structure. Slide up and down aggressively. Okay, good. Now don't pull too hard. Perfect. Okay, perfect. Better? Good. Now you gotta be careful with this, right? Yep. There could be something in there that's mine. So you're force these things, but once you get it, then you can slide up another breath, things it should be done. Feels like nothing. Doesn't feel like nothing. Feels like nothing. Little thick. Okay. Perfectly done. Okay. Perfectly done. I still see my art. I already got that. Okay. Right. Kind of got it. Yeah. Run. You might just consider grabbing it, I dunno. The node. Yeah. You can also try and go above it. It should be, I don't know where it's vascularized. Usually it's sized interior. Right. Just trying to clean up my artery. Sure you have to. Yeah. Which I could do. Still bleeding. Made it bleed again, didn't I? Okay, good. Pick it back. It holding you open. It's free. Yeah, that's a good one. You wanna the fat? Mm-hmm. Cook in. Okay. Now what I am trying to skeletonize my artery right now is what I'm trying to do. That's my goal of my current steps. Thanks Dagan. Mm-hmm. So I'm just gonna feel around behind it. Sorry. Okay. I don't wanna dig into gallbladder, but I'm below artery. Lovely. Pushing up artery."
81,"01:34:58,254","01:35:14,765",1 Instruction,1.3 Validation,They discuss performing or evaluating a dissection or instrument movement.,That correct? Right. Perfect. Like I could be making more progress if I were doing something slightly different appropriately when you weren't. I'm just pulling on it slightly on here.
82,"01:35:17,525","01:35:44,220",1 Instruction,1.2 Inquiry,They confirm that the current action or position looks correct.,"Why'd you go so low? Why it go there? Oh, why'd you? You went up and that side down here, but you don't know what's down there. True. Okay, so it could be like hepatic arteries there. Okay. Let it go where you can see the tips. There you go. Now stay on that duck and spread wide wide. That's it. Now you got a good job, right? Yeah. This thing's kind in your way. I would just grab it, right? The node. Yeah. There you go. It up. Up."
83,"01:35:46,985","01:36:14,235",1 Instruction,1.3 Validation,They discuss identifying or dissecting around the cystic duct and artery.,"You took the Pele, right? Theoretically. Theoretically. Because you gotta skeletonize the artery. No, here's this, there's just dropped off node. Okay. All right. So I need to skeletonize my, we dunno where the gallbladder is. I don't know. Into gallbladder. Pretty that stuff. Safe? Yeah, sure. This is where we had made our previous, um, window."
84,"01:36:18,465","01:37:08,275",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"The question is, do we have enough room to get our stapler around here? I don't know. I don't either. I could clean this schmitz here. That's gauge. I'm just sort of hugging, engaging. Yeah, I did. There you go. Much better relative. Tilt it up other direction. You til the wrong direction. Your time tilted up. Oh my time. Not that much. Go into that same hole. Spread progressively a little more, you know, make some more progress. Here. Go, go, go. That's it. Okay. Right."
85,"01:37:10,255","01:37:21,530",1 Instruction,1.4 Point to errors / task,They discuss manipulating or exposing the gallbladder and surrounding tissue.,"I find it on this side easier to flip your finger out, actually. Oh. Because it curves around and get more distance on the fat. Okay. I don't know why I'm making the fat bleed so much here. I think that's totally safe."
86,"01:37:27,440","01:39:47,304",1 Instruction,1.3 Validation,They discuss adjusting the camera or view for better visualization.,"Gentle that she wasn't sure where it was gonna rip in the plane. So she was looking as she ripped and it didn't really what she wanted so she stopped. Yeah, it didn't, I would maybe take some of this with my Marilyn in and out and then take my hook. But lot of approaches here. Yeah, lot of tactics. Familiar with the camera that myself. There is a lot of shit going on. Yeah, there is. Feels too. I agree with how strategy I like it. Trying to really push onto it when you do it. That is okay. Don't love weird. Oh then I made my artery bleed here so my, yeah, well that was my node but it wasn't totally vascular. I, sorry. Oh well that was my fault. We're not vascular it. Okay. Sorry. Do we want one? There's two poors yet we can do is try and skeletonize that artery my fault. I'm sorry. I want it out of there 'cause it needs to get out there. But I, we shouldn't have a couple more burns around it. Okay, so I want you to dissect the rest of the artery out. Okay. Um, on both sides. Use the Maryland, okay? I'm giving you more tactical stuff right now because I think we should get that artery out of our way. It's totally in the way. Yeah, I agree. That's, I want you to, what you do is I want you to go in there and hold on up, down on that spread, spread, spread. Once you know how far it goes up, you're not at base. Then come from this side. Spread. Spread. Get it fully skeletonized clip, click cut. Okay. Okay, great. There. There too. That's really easy. Okay, keep going. Really good."
87,"01:39:49,325","01:40:26,650",1 Instruction,1.3 Validation,They discuss placing or confirming clips on the cystic structures.,"So there's a little hanger up there or something? Yeah, yeah, yeah. Maybe coming off. Mm-hmm. It's okay. Go in where you were. That's good. That was productive. Just on a whole, that thing. Okay. Want cut it? That's it. Yeah, exactly. Change my times. That's it. Perfect. That slight move was perfect because that is, I think you're on VLA actually. You think so? That right? I dunno, because when you were lifting up, I only saw a VLA behind. Yeah. It's come from this side just down there. Clip it there, you know. Clear that off. Good. That was a nice move."
88,"01:40:29,514","01:40:40,179",1 Instruction,1.3 Validation,They discuss identifying or dissecting around the cystic duct and artery.,"My grandparents, do you have 10 millimeter cup PLI out? Yeah, you can open it for us, please. Okay, that's great. So we know that's artery, that's not emphatic. That's not a duct."
89,"01:40:41,500","01:41:13,415",1 Instruction,1.3 Validation,They discuss placing or confirming clips on the cystic structures.,"Right? It's too small. It's too small going directly into gallbladder. Yeah, it's fine. So we're gonna take it Okay. Little hour, because it's gonna hopefully help everything else. Yeah. And it's bleeding into the right. So we'll do clip here, clip here, clip there. Cut. Okay. Yeah, that'd be really nice. Once that's out of the way. Yeah. And then you're just start spreading through this. Okay. Cutting and spreading and cutting and spreading. Okay. Thank you. Thanks Kat."
90,"01:41:20,545","01:43:02,795",1 Instruction,1.2 Inquiry,They discuss identifying or dissecting around the cystic duct and artery.,"How does she know what angle that was? We're trying to think about being able to see like the tips of the other like angle. You turn the tips that way or do you turn that way? I want like kind of go in and then see like we could with right there Dr. George. Sure. Like thinking about the angle of like wanting to be around it but then seeing like, Nope. So the core principle is this. You have a duct or an artery or whatever. You don't wanna go obliquely across perpen. That's what I meant. Yeah. Like looking it up, perpendicular there, but then like making sure the tips there is that either way you see the tips. Tips have nothing to do with what angle's. Okay. The angle is entirely about what makes it per the axis of the structure. Okay. Okay. So sometimes the structure's that way you're gonna have to have curling down like that. Okay. Structure like that you're gonna have have report fixed. Okay. You only degrees of freedom port. Mm-hmm Left hand and with the angle of your, that's it. Oh, okay. So you're using both of those. You can change the angle this way and you can change the angle with your Oh, okay. Okay. See how she's perfect. Perpendicular these two were are not close enough together? Yes, please. Sorry. Thank you. I should have done them, the bottom two. Closer together, but not perfect. It's not perfect, which makes me sad. Totally acceptable. I was watching. Oh, I know. I saw, I was watching. Me watching. So now that we have that, then it'll be easier to clear off like this. Ooh, I'm actually gonna just get my Beauvoir wa okay"
91,"01:43:04,445","01:44:56,925",1 Instruction,1.3 Validation,They discuss manipulating or exposing the gallbladder and surrounding tissue.,"to, are you guys okay if I take all El paa? Yeah, a hundred percent. In terms of like balancing service and education, I don't wanna go digging through this fact that I, it's, I agree. I would've know exactly what you did every single part of Put it in, think it's thick, come out, try something else. I just don't wanna go in gallbladder either, but I think that's just peritoneum. I think what I would do is, yeah, you can try that, but if you're not finding any targets for hookups, switch instruments. Mm-hmm. Okay. Just, I, I would've, this is the perfectly acceptable effect and you learn. Mm-hmm. It's not useful. Okay. Perfect. Thank you. Your left hand's pretty weak sauce too. Still. Well, yeah, because you're putting this on tension, but you're not putting any of this on tension. Oh, okay. Oh, see? Yeah. Which is good if you're dissecting here, but it's not, not dissect. That's. Right. She's gonna roll it to bring it on over. Open times. Grab right there. Okay. Oh, I see now. Yep. Now I see the roll. If I can do it nice and wide, I know I'm not gonna get a good grip here I don't think. Fine. Your left your right hand. It's not helping. It's not. No, we have to have cat show you. There we go. She actually mastered it. I think that's better. You still don't think that's better's susceptible? Okay. It's not as good as Cat did it the other day. I'm not surprised. I know I'm, she did a really nice job. Okay, I have very good. And now you can see why it's useful, right? Yeah. I wanna say up on gallbladder. Yeah, I think that's gall. I think so too. Just the way it moves. It looks like I wouldn't go there. Oh, I think that's gall there. Okay. This is not, I'm not sure yet. Rip that. Yeah. Okay. So just the way it moved, when it pushed in there, it felt, and I wonder if there's another, it looked like it kind of moved everything when you pushed. Just try again. I dunno. I don't know. I think there's ball wire there. You a posterior, I pull this here. Okay. That one feels freebie. Mm-hmm. Just see what you got in there."
92,"01:45:01,515","01:46:38,375",1 Instruction,1.3 Validation,They discuss identifying or dissecting around the cystic duct and artery.,"You feel like that? Yep. Okay. As long as it feels like that you're good. Just don't wanna hit a posterior artery. Yeah. What I would do is I often spread this way honestly, because I'm, I'm like making bands, but then I can cut later. Oh, okay. Okay. It's like this. Yeah. Just feel your. Dylan for gallbladder. Yeah, I'm trying to push up. I think that's gallbladder there, so I'm trying to push up against it. That was a nice one. Try to get posterior plane and I saw a white bear, so I did. Oh yeah. ' cause you don't know what's gonna be there. So then come back. Oh, that was really nice, by the way. Now you have a band for your hook later. So go slightly off now and do the same exact route. Okay? Yes. Perfect. Perfect. Okay. Making the bleed Classic. Now. You got some targets though. Okay. I think there may be an artery back there. Yeah, I agree. Where it's common or hepatic, I guess. I don't know what's going on here. That's a little bit of a Gotta be careful. It's big too. I think Schmutz right here is, I think this right here is sch sch. That might be a hepatic duct. This, not this. Oh, okay. I was like, I think this is not bad. I wouldn't been making lot more noise. Okay. Yeah, that's interesting. Okay. All right. Yep. Just pushing up against what I think is the base of gallbladder. Yep. As long as it doesn't curl in front of your tips, you're good. Yes. So you gotta be really careful."
93,"01:46:47,735","01:46:50,674",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"Okay. Keep going though. If you're gonna do it, do it. Yep."
94,"01:46:54,184","01:46:55,504",1 Instruction,1.1 Assessment,They discuss performing or evaluating a dissection or instrument movement.,Nice. I love that you pulled down.
95,"01:46:57,035","01:47:42,550",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"That was great. That was nothing. Okay, great. Yeah, that was great. That was really nice. Set of, that section was okay. Yeah. Really advanced. Okay, great. Okay. All right. I'm gonna take those bands and see what we see after we take those bands. Whoa. Sorry. It's okay. Yeah. I'm not gonna go deep. Nice. But we had a little plane here. Oh, that looked awesome. Okay. Just seeing what we have. Totally. Yeah. I love that."
96,"01:47:42,550","01:47:47,635",1 Instruction,1.1 Assessment,They transition to the next step of the operation.,"Next section that we're doing. There's, there's something under there. Something that for sure. There's something real over there. I agree."
97,"01:47:49,620","01:47:50,339",1 Instruction,1.1 Assessment,They discuss procedural details or coordination during the operation.,I'm just feeling.
98,"01:47:53,519","01:47:53,790",1 Instruction,1.1 Assessment,They confirm that the current action or position looks correct.,Okay.
99,"01:47:55,049","01:50:32,730",1 Instruction,1.2 Inquiry,They discuss manipulating or exposing the gallbladder and surrounding tissue.,"How about this? Not bad. I think that's just bad. Okay. But I'm still wiggling. Yeah. Makes me feel reassured. A little more. A little more mobility there. Yeah. There's my tip. Okay, good. Let's see what we have there. What's going on here? This is kind of weird. Weird. Okay. All right. Let's take a peek. Make, see small things and slow down. Kind of like when we were like a little bit in our gallbladder, we're like, let's slow down. Mm-hmm. Fast. And Australia is slow on the curve, right? That is, I dunno what that is. Liver might be, liver. Could just be liver that feels like Pierce nim. I'm just gonna see. Hmm. I wonder if I'm through Yeah, that's what I wonder too. That's my hypothesis right now. Times missing. Left hand is key there. They're push it a little more there. They're without hitting. Okay. So I feel a little bit better. Yeah. We were just looking through a little bit of band para. Yeah, I think so too. So I'm gonna spread there. What you guys think too. Yeah. I, I was gonna spread here and continue to open up that plate, that move blind on liver capsule. I'll tell you some experience can cause a lot of bleeding. Ah, okay. I don't wanna do that. I've done it. I've done it there that you can see it. That's, yeah. Much better spread aggressively. It doesn't matter. Right. But you don't want to do. Without seeing it. Nice. Thanks Dagan. Good driving. Really good driving actually. Yeah, you're doing great. Far, far above average. Uh, a plus. I'm gonna give you an a plus for the rotation. Okay. I appreciate that's how you guys great, right? I honestly have no idea. We go, it's not a plus. I can show you. It's a vague system of honors and high honors. Okay, great. I feel better about that now. Okay. Question is, is do we think this is anything? Yep. That is the question. So, yep. Pass some courage, but be cautious. That's it."
100,"01:50:34,470","01:51:37,500",1 Instruction,1.2 Inquiry,They discuss adjusting the camera or view for better visualization.,"Why'd you start so high? Because I thought I saw a liver bed in a band there, so, okay. I mean gallbladder. So I see this band here. Mm-hmm. I don't know what it is. It's either base, gallbladder or it's some of other weird structure and you started above it and went across it, so. Oh, gotcha. I would be like, not the place I go. Okay. Okay. I would've gone just below it and see and then I would maybe work on that. Okay. You know? So maybe like here, come right below it. Yeah. I see. Thank you. Very productive. Very fast, Leo. See how fast that was? 'cause you knew we didn't have this like med school green felt a little bit like line, is it anyway, where the points are made up and don't matter. I think that's just fat right here. Yep. You can rip it with a little bit bleed. You can pause and cut. Dealer's choice. I feel like I wanna rip it, but it's all about consequence of bleeding. That's not a high consequence area. No. Well shoot exposure there is pretty good over here. On the other hand, I don't just rip things and have righting down everything. Right, right, right."
101,"01:51:47,195","01:52:01,955",1 Instruction,1.3 Validation,They discuss performing or evaluating a dissection or instrument movement.,"Okay. All right. What about that one? I think that's Schmitz. Yeah. Feel it. But it looked like Schmitz before. Feel it when you're good. And then while you have hooking, see what else you can do. Put it behind. That's nothing. Burger."
102,"01:52:03,485","01:53:37,330",1 Instruction,1.2 Inquiry,They discuss identifying or dissecting around the cystic duct and artery.,"What? That shaky hand had my cell. Huh? Explore some shit too. That's gonna be nothing. Burger as I predict. Little still thick. Yeah. I'm gonna come through that first. I'll probably come out and scrub in my Maryland just to make myself feel better. Kind. Worry. What the hell that is? Yeah. I don't know. We're looking exactly blue. Yeah, it probably is that, that would be like if I had to make a wave, I was like, maybe. But it also like under the colors, like really? Here's another move. We grab it gently and slide down just to a break. It's fat. It'll, it'll, it'll gradually disintegrate. Don't vols it. You know what I mean? Don't grab so hard. You're gonna vols. Yeah. Let it slide. Yeah. It should be sliding. And you're gonna open and do it again. Slide, slide, slide. Not really fat, huh? It almost looks a little thicker. Like some sort of weird, like accessory. That's what I'm wondering. Yeah, it's, it's odd. I dunno to do with that one. Well, it looks like maybe like a weird accessory, like could be artery, like a posterior. Just trying to thin this out and see if we can see a structure in there versus just more fat. So your time bounced. Good? Yep. Good job. I did see it that time. I'm glad I do. I hopefully could learn. Okay. Nice coaching. Nice, nice, nice. I'm just staying in that. You a good athlete of some kind. I can't remember really. Um, yeah, not in college. No. No."
103,"01:53:40,000","01:56:28,650",1 Instruction,1.2 Inquiry,They discuss adjusting the camera or view for better visualization.,"What did you do before? Uh, volleyball and track. Nice. That was really good. Dissection. This is nothing here. It sure is nothing. It might be a little like emphatic or something, right? Yeah. I can burn it. Yeah. I above that one just 'cause it looks like a structure of some kind before I switch. I was gonna just see, see there's something back there. Feel, I dunno. I shouldn't make predictions. Yes. Engage the tips though. You not pushing hard enough and do it. Oh shoot. It is rolling off my tips. So posters moving like it's floppy so I dunno. All right. I'm gonna take that first one since it's bothering me and then we can see it better. We're getting close. We're doing it. Go. There we go. Okay. There we go. There we go. All right. Let's see. I gonna feel It's starting to look like something more, isn't it? Yeah, it actually is. Almost looks like a little vessel. It does, but it's entirely in the wrong direction. I would've, if I had it bet, I would still say it's nothing but. Like, it's not high enough confidence that we just blast it. Same. You know, I'm not gonna, I, how are we gonna dissect it? It's like floppy and difficult. It's not a bad idea. So it feels like there's a fat line there. I mean, I guess you can try and engage your chips, right? I don't know what the hell that is. Try and strip this down maybe. Okay. You know, see if we get better exposure to it goes to. It's so floppy that I can't imagine it's a real structure. Nice. Perfect. Got it. Almost like, is it something, I don't know. I don't know. I like I told you, if I had the bed, I'd say no, but I kind of pulsing. Yeah. It looks like a, it's pulsing. Do we think it's pulsing? It's probably a posterior branch. Okay. It's definitely pulsing. I just finally, yeah, I see it. Yeah, right there. So I, that little posse right there? Yeah, right here. Well, I lid That's wrong. There you go. I really engage that though. But don't make big moves. Get over overcharged. I dunno. I don't know. Uh, can't. I can't, I can't. You wanna come take a feel or it better? Yeah. Keep working over more medial though. Okay. There's stuff there to do."
104,"01:56:30,930","01:56:47,974",1 Instruction,1.4 Point to errors / task,They confirm that the current action or position looks correct.,"Is there more stuff to do? I dunno what else there is to do because I think we can come across just grabbing your gown. Oh, thanks. Oh, maybe I can clear those. It's okay scrubbed. No, it's fine. I'm just like Sandy, I don't want"
105,"01:56:56,615","01:57:04,205",1 Instruction,1.3 Validation,They discuss identifying or dissecting around the cystic duct and artery.,"just coming around the backside of the duct, like hugging on it with my tips and getting, you know, so much. That way you can actually get around it. Yeah, exactly."
106,"01:57:09,225","01:57:09,615",1 Instruction,1.1 Assessment,They discuss procedural details or coordination during the operation.,"I would love,"
107,"01:57:13,905","01:57:15,405",1 Instruction,1.1 Assessment,They ask or clarify a procedural step or observation.,"you know what, I would love to do"
108,"01:57:18,045","01:57:24,735",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"simulation using your kind that size. Yeah. Like I'm hugging around, um, the back"
109,"01:57:26,355","01:57:31,785",1 Instruction,1.1 Assessment,They discuss manipulating or exposing the gallbladder and surrounding tissue.,"and like kind of rolling off the back, feeling it, and then trying to get that spread through that tissue behind it."
110,"01:57:35,895","01:59:12,505",1 Instruction,1.3 Validation,They discuss placing or confirming clips on the cystic structures.,"Yeah. Nice. There we go. Kind of coming a little bit check and see, but how was the lady from yesterday doing? Oh, she's doing okay. She's still, they kept her intubated overnight. She's under Nore at 0.08. They're gonna ween her. They weaned her sedation a bit and she was like following commands her kidney function that, you know, it was at 6.6 when it peaked. Yeah, it's down to four point. Um, like three for creatinine, lactate's down to 2.1. Nice. Um, I, it was definitely gonna be a bit for her to recover after all. Oh yeah. I mean, totally. She was the sepsis besides the ballet. That's, that's cool. Yeah. I'm assuming you'll regrab Dr. George. Lemme just figure out what the hell that thing is. That's weird, huh? Yeah. Very weird. Puls a tile, if you will back. I'll take Marilyn. You got it. I'll just stand it there. Marilyn, do you want that step out of the way? Me? Yes. I kind of like it was. She's right. Yeah, it's nice. It's good stuff. In fact, that was a learning point for me in this case, was that I should have suggested you get a step. 'cause I did notice your shoulder was really high. Yeah, me too. And she felt like it was wrong and immediately corrected. You wouldn't know that. So that was a failure on my part. Well, I guess mine too. That was my learning point for today. One of them. No, I was like, I was like awkward. Like I wasn't sure if it was something that I was doing, you know what I mean? Positioning wise of myself or not. Nice. It's a good angle for the um, clips. Okay, so that's nothing because I'm going from easier stuff to harder. Mm-hmm. Okay. That's something we can take get there almost entirely off. It's so floppy. That's awesome."
111,"02:00:14,610","02:00:22,605",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,It's got that. It's got this handle thing. Yeah. Okay.
112,"02:00:29,070","02:00:37,110",1 Instruction,1.3 Validation,They discuss performing or evaluating a dissection or instrument movement.,"Oh, nice. Yeah. Okay. Put that on. Yeah, but I don't here to put that on stretch so I dissect a little more up."
113,"02:00:38,490","02:01:18,179",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"Put that on stretch because I can't do anything. Oh, nice. Yeah, that looks good. You see that cat bad hat? That's nothing compared to me. I think. Oh, that's really pretty. That's nice. Mm-hmm. Yeah. Dr. George's grip is a, it's a lot of, it's 10,000 little things, guys. There's no mystery here. Okay. Yeah. It's not rocket science. It's not talent. It isn't. It's deliberate practice. Folks. Send the details for years, right? That's all. It's okay. No secrets here."
114,"02:01:24,059","02:01:32,550",1 Instruction,1.3 Validation,They discuss manipulating or exposing the gallbladder and surrounding tissue.,"Okay, so now we got that on a stretch, right? Mm-hmm. Which is my goal going directly into gallbladder. It's where we're going into gallbladder. Yeah. So directly into gallbladder on back. Okay."
115,"02:01:40,735","02:01:42,115",1 Instruction,1.1 Assessment,They point out a possible issue or give a corrective instruction.,Grab it like he did. Probably not.
116,"02:01:43,765","02:01:45,720",1 Instruction,1.1 Assessment,They discuss procedural details or coordination during the operation.,"This is a weird little posterior branch, I guess."
117,"02:01:48,240","02:01:55,825",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,Yeah. Thank you. Okay.
118,"02:01:57,445","02:03:04,005",1 Instruction,1.3 Validation,They discuss placing or confirming clips on the cystic structures.,"Good to clip it and take it? Yeah. Okay. I'll take the clip applier. Yeah. Yeah, for sure. I wanna take that posterior branch. Pick that too, I think. Okay. I'll, if you think it's skeletonized, I, yeah. I got my tines around it. Okay. While you're, but I'll show you. Okay. You don't have to show me that. I need to prove, just to know what you think. Okay. Now you get to redeem yourself. Gonna stack, there we go. Right. Partial close. Yes. It's gonna be perfect. Partial, close. Make it in, maybe partial, close. Slide it down so you kind of see it in your thing a little bit. Mm-hmm. Or feel it. I feel it. Perfect. Could have been a little better 'cause I started. No, that's perfect. Whatcha promise? Oh, no, I mean, I started, uh, I started pulling on it. Oh. So my tissue handling could have been better. All the way up. All the way up. Move yourself out to light. And it's fire. And you can see your tip there. Yep. Just do it. You don't need to make it slow. There. The specimen side. Scissors. Thank you. That's a straightaway. Okay. When we talk about my velocity. Yes."
119,"02:03:12,945","02:03:24,615",1 Instruction,1.3 Validation,They discuss identifying or dissecting around the cystic duct and artery.,"Yeah. There was a little branch up in there and that's what that is. You just cut through it, right? Yep. It was a weird little, I dunno, weird an anatomy here. I'm gonna just check and make sure I can get across this duct Well."
120,"02:03:36,045","02:03:49,594",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"See now it's when you see that, see that splays out a little bit. Yeah. At the bottom. Yeah. So I wonder, okay. Yeah, exactly. Where are we gonna go? Is that the actual confluence? Not sure. Hmm."
121,"02:03:50,915","02:08:43,370",1 Instruction,1.2 Inquiry,They discuss placing or confirming clips on the cystic structures.,"Do you use the big clip of wire or you use that same Uh, well, like the big white one, the hemo lock is maybe what we want to do here because it's, yeah, I think we do want, okay. Purple HELOC please. Thank you. May I see another, um, grasper real quick saying something? Yeah. That also just felt like it, a good leadership because I was thinking about how to work around with a clip that's not safe. It's just better to do Right. Thing done there. So smart. Yeah. Well, I knew I had a bad angle and I didn't like my grab. Yeah. So you see how it's slinging out a little bit where the co I think confluence is Yep. Right there. So you're gonna say half a millimeter above that. Okay. Okay. Please. Oh, I can see now where like that narrowing is and then there's that And that's the confluence over there. Yeah, exactly right. It could be, could be. But this is the narrowing hearing. You're gonna wanna go this way. That's, that's right. Exactly. And not that it is, that it could be. Okay. Okay. I was doing probability with my daughter last night and I was talking about how reality is all about, like, you don't know, am I pushing a hair more with your Yep. Yeah. Perfect. Probabilistic reasoning. So there's zero tolerance for error there, so we just err on the side of caution. Perfect. Kind of like how the physicists and their, uh, like what we were talking about. Yeah. There's no six Sigma here. We don't get that usually. Um, probability for fun or does she have homework? Not for fun. Uh, so I homeschooled her last year. I took her year off. I homeschooled her. The only chapter we didn't do in our geometry was, this doesn't make any sense probability. And so the school was mad at me 'cause I had skipped it. So I, we waited for the summer. So we have nice cool little anatomy with that posterior branch. Do what? The anatomy with the little posterior branch. It's nice to see. Oh. Always scared. I'm gonna get burned by one of those. I dig in back there. It's good to see that. I supposed to do clip clip. Cut off the Foss. Yeah. Thank God she's back from public school. God bless. Teachers. You did homeschooling for one year? Yeah, I took a year off and we lived in an rv. Oh yeah. So we had to homeschool. We did a terrible job. Job. I did a drill job on everything but geometry. I filled it with geometry. Where'd you guys travel? Mostly out last we were climbing. So nice. Appreciate teachers. Yeah. I mean, I've always appreciated teachers, but I really appreciate It's really hard. You good? Yeah, no, I was gonna say, I never truly came to appreciate our, like some of the stats programs. All I had to do was put the data and I didn't have to calculate any of those. Like, you know what I mean? You're like, why did I need to know Data error. No, I mean it's like important to know it, but I'm like, I don't want to have to like, you know what I mean? Like having to calculate all that stuff. I just remember with like genetics and everything, how we were doing that. Oh, it was painful. One of my very close friends is doing his PhD right now. He's taking a very high level stats. He's like God's gift to me when I'm doing research. It's cool. A very good biostatistic biostatistician work for weight and gold. That's for sure. I, so I did a master's education, but it was really a master's in Stats for education. So I really love stats. Little hooky part, you know, goes in the back. Mm-hmm. So I always fix that before I get in so I don't have to puts around. Okay. Perfectly loaded. Thank you. Okay. Wanna see the back? All right. Now let's look to the confluence. Nice. I think about right there. Yeah. I think that's great. Good job. Those are lovely, aren't they? I like 'em a lot. I just, I'll think another piece. Secure, especially with me too. I feel very secure. This is actually, she had dilated ducts and she has that stint like she needs She could pressure. Exactly. Yeah. Yeah. This is great. I don't wanna sit. Let's put four of them on. I can't tell if you're serious or kidding. Not serious. Okay. Putting, like, you lined up your clip before you went in. Yeah. I like to go in and get it on the back. Oh, she switched it. So the angle's different. Mm-hmm. So she had the backside on the, what is now the, the tearing towards you. Yeah. You gotta come, come out. Because what changed now is you have it facing down. Mm-hmm. You want the knob behind your duct, right? Yep. But now you have it facing down and your angle across the duct is not the same. Okay. Before she loaded, I'm gonna come fully out. Okay. Come out and have it reloaded. Okay. So we're gonna want to, so this one's here. Yeah. So knob on that side. Thanks."
